# Яндекс.Метрика, счётчик 45472341, «Страницы входа», 01.01.2021 — 31.12.2022 (пиковые годы), топ-200 по визитам.
# Всего визитов за период: 1 784 639, отказы 17,22 %. Выгружено 23.09.2026.
# Колонки: страница входа | визиты | отказы
/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/videokarta_palit_rtx3070_m_oem/ | 1247 | 27,31%
/blog/obzory-mayning-oborudovaniya/obzor-mayning-fermy-na-kartakh-rtx-3060ti/ | 1238 | 25,25%
/catalog/videokarty/videokarty_nvidia/videokarta_msi_geforce_gtx_1660_super_ventus_xs_oc/ | 1209 | 24,19%
/catalog/komplektuyushchie/novaya_materinskaya_plata_esonic_b250_btc_gladiator/ | 1208 | 34,14%
/catalog/asic_maynery/whatsminer/whatsminer_m31s_plus/?oid=8461 | 1190 | 15,25%
/blog/novosti-kriptomira/bitmain-antminer-e3-bolshe-ne-mozhet-maynit-ethereum-classic/ | 1167 | 15,55%
/catalog/asic_maynery/?PAGEN_1=2 | 1163 | 18,30%
/catalog/asic_maynery/whatsminer/whatsminer_m32/?oid=5972 | 1163 | 14,55%
/catalog/videokarty/videokarty_amd/videokarta_msi_rx_5600_xt_miner_oem/ | 1162 | 29,03%
/catalog/asic_maynery/avalon_miner_1246/?oid=8442 | 1158 | 19,15%
/catalog/asic_maynery/whatsminer/whatsminer_m30s/?oid=3682 | 1131 | 18,61%
/catalog/asic_maynery/canaan_avalon_pro_a1066_55_th_s/ | 1127 | 24,16%
/catalog/remont_asikov/ | 1127 | 12,33%
/catalog/fermy_dlya_mayninga/mayning_fermy_na_nvidia/mayning_ferma_na_videokartakh_nvidia_geforce_rtx_2060_super/?oid=5088 | 1118 | 16,03%
/catalog/asic_maynery/bitmain/bitmain_antminer_s9j_/?oid=2853 | 1100 | 19,04%
/catalog/asic_maynery/bitmain/bitmain_antminer_t19/?oid=4905 | 1096 | 16,46%
/catalog/fermy_dlya_mayninga/videokarty_dlya_mayninga/videokarta_manli_nvidia_p104_100_4gb_oem/ | 1089 | 33,33%
/catalog/videokarty/videokarty_nvidia/videokarta_nvidia_geforce_rtx_3070m/ | 1086 | 24,77%
/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/videokarta_gigabyte_geforce_rtx_3070_aorus_master_8g/ | 1071 | 24,69%
/catalog/asic_maynery/bitmain/bitmain_antminer_s19/?oid=8671 | 1054 | 19,02%
/investicii_majning_promyshlennaya_ferma/ | 1054 | 19,13%
/catalog/fermy_dlya_mayninga/videokarty_dlya_mayninga/videokarta_dlya_mayninga_manli_nvidia_p102_100_5gb_fanless_oem/ | 1043 | 25,89%
