# Яндекс.Метрика, счётчик 45472341, «Страницы входа», 01.01.2024 — 31.12.2025 (последние два года старого сайта),
# точность 100 %, топ-110 из 1758 по визитам. Всего визитов: 149 036, отказы 38,04 %, 39 достижений избранных целей.
# Колонки: страница | визиты | посетители | отказы | глубина | время | достижения целей
# Строки /forum/?... со ставками, казино, «вебкамом», дипломами — это спам, которым был забит форум (см. отчёт).
/catalog/komplektuyushchie/materinskaya_plata_btc_b250_dlya_maynera_btc_12_usb_3_0_dlya_pci_e_x1_oem/ | 58 | 50 | 24,14% | 2,22 | 1м24c | 2
/catalog/mayning_fermy/mayning_fermy_na_amd/ | 58 | 56 | 25,86% | 1,33 | 1м42c | 0
/blog/obzory-mayning-oborudovaniya/bitmanu-predstavila-maynery-na-3-nm-asic-s-proizvoditelnostyu-do-1950-tkhesh-s-oni-dolzhny-okupitsya/ | 53 | 43 | 13,21% | 2,85 | 3м20c | 0
/catalog/asic_maynery/ebang/ebang_ebit_e12_44_th_s/ | 53 | 53 | 30,19% | 1,04 | 43c | 0
/catalog/asic_maynery/whatsminer/whatsminer_m56/?oid=30858 | 50 | 41 | 32,00% | 1,20 | 54c | 0
/catalog/asic_maynery/whatsminer/whatsminer_m53/?oid=30861 | 45 | 37 | 22,22% | 1,53 | 1м18c | 0
/help/payment/ | 45 | 43 | 35,56% | 3,71 | 3м8c | 0
/catalog/komplektuyushchie/blok_pitaniya_lx2000w_atx/ | 44 | 41 | 43,18% | 1,84 | 1м5c | 1
/catalog/komplektuyushchie/bloki_pitaniya/originalnyy_blok_pitaniya_apw3_dlya_bitmain_antminer_l3_d3_s9/ | 43 | 42 | 46,51% | 1,14 | 17c | 0
/info/brands/canaan/ | 43 | 40 | 23,26% | 2,12 | 1м39c | 0
/catalog/komplektuyushchie/blok_pitaniya_evga_750w_bronze_750_bq_80_plus/ | 41 | 24 | 31,71% | 1,27 | 2м10c | 0
/blog/novosti-kriptomira/mayning-ne-umret-dolgie-gody-chto-budet-posle-dobychi-vsekh-bitkoinov/ | 39 | 37 | 15,38% | 1,15 | 1м2c | 0
/catalog/komplektuyushchie/bloki_pitaniya/blok_pitaniya_lx1800w_gold_90_plus/ | 39 | 38 | 38,46% | 1,28 | 50c | 0
/sale/ | 38 | 32 | 34,21% | 1,34 | 39c | 0
/investicii_majning_promyshlennaya_ferma/ | 37 | 36 | 35,14% | 1,57 | 43c | 0
/do/remont-asikov/ | 36 | 34 | 22,22% | 1,31 | 1м | 0
/catalog/komplektuyushchie/bloki_pitaniya/blok_pitaniya_r_senda_sd_2400w_btc_1_16awg_for_asic_overclock_mode_s9_18th_2400w_mining_psu_all_cabe/ | 33 | 33 | 12,12% | 1,39 | 26c | 0
/partner/ | 33 | 30 | 24,24% | 3,18 | 3м36c | 0
