Название;Раздел;Цена, ₽;Наличие;Артикул;Архивирована;Адрес;Фото;Фото в архиве;Описание (знаков);Артикул:;Потребление;Значения хешрейта;Окупаемость;Доходность;Артикул для заказа;Объем памяти;Тип памяти;Артикул для заказа:;Доходность обновлена:;Графический процессор (Чип);Объем видеопамяти;Графический процессор;Алгоритм хеширования;?Сколько требуется ватт на 1 MH/s Энергоэффективность W / MH;Энергоэффективность W / MH;?Считается как цена оборудования / хешрейт Стоимость 1 MH/s в руб.;Стоимость 1 MH/s в руб.;Интерфейс памяти;Частота памяти;Максимальное разрешение;Выход HDMI;Видеовыходы;Количество ядер CUDA®;Частота процессора;Производитель;OpenGL;Рекомендуемая мощность БП;Поддержка SLI/CrossFire;Поддержка мониторов;Техпроцесс;Количество занимаемых слотов;Сообщение;Возможна покупка с НДС;Вес, кг;Размер, мм;Поддержка водяного охлаждения;? Сколько требуется ватт на 1 MH/s Энергоэффективность W / MH;? Считается как цена оборудования / хешрейт Стоимость 1 MH/s в руб.;Энергопотребление, W;Low Hash Rate (LHR);Производитель видеопроцессора (видеокарта);Интерфейс (видеокарта);За 30 дней;Гарантия, мес.;Артикул;Серия (видеокарта);Кодовое название графического процессора (видеокарта)
Видеокарта PNY GeForce GTX 1070 Ti Blower 8GB (GF107IGTXCD8GEPB);Каталог / Видеокарты / Видеокарты NVIDIA;;Нет в наличии;GF107IGTXCD8GEPB;2020-11-27;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_pny_geforce_gtx_1070_ti_blower_8gb_gf107igtxcd8gepb/;https://miningshop.ru/upload/iblock/e53/e53aa10bf51ba14fa5ef2710e8c153a2.png https://miningshop.ru/upload/iblock/30f/30f1505dc0e6c01d2b2520f0de2b1f11.jpg https://miningshop.ru/upload/iblock/725/725faed956871b253b8890baf9af671b.jpg https://miningshop.ru/upload/iblock/67c/67ce7647309ba304cb9d6b03649bcb32.jpg;;718;GF107IGTXCD8GEPB;;;;;;;GDDR5;;;;8192 МБ;NVIDIA GeForce GTX 1070 TI;;;;;;256 бит;8000;7680x4320;да;DisplayPort, DVI-D, HDMI;2432;1607 МГц / 1683 МГц;;OpenGL 4.5;500;SLI;4;16 нм;2;;;1,040;266 x 112 x 38;не поддерживается;;;;;;;;;;;
Видеокарта PNY GeForce GTX 1070 Twin Fan (GF1070GTXCR8GEPB);Каталог / Видеокарты / Видеокарты NVIDIA;;Ожидаем поставку;1813;2023-02-03;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_pny_geforce_gtx_1070_twin_fan_gf1070gtxcr8gepb/;https://miningshop.ru/upload/iblock/478/478a25a411fff8a4aa3a0e6fefb36cc7.jpg https://miningshop.ru/upload/iblock/a2e/a2e5afa1e5f92c0d808115f8a426c107.jpg https://miningshop.ru/upload/iblock/800/800ad216622d86efe16ce616d613dabe.jpg https://miningshop.ru/upload/iblock/0e7/0e744a38f8573d1ed28bcfa71bab9dfd.jpg;;1553;1813;125;30.21;;;;8192 МБ;GDDR5;;;NVIDIA GeForce GTX 1070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Видеокарта PNY GeForce GTX 1660 Ti XLR8 Gaming Overclocked Dual Fan;Каталог / Видеокарты / Видеокарты NVIDIA;61000.0;OutOfStock;VCG1660T6DFPPB;2021-10-18;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_pny_geforce_gtx_1660_ti_xlr8_gaming_overclocked_dual_fan/;https://miningshop.ru/upload/iblock/a65/ap6kvkw44d0nxdp320v00bipommqt6gz.jpg https://miningshop.ru/upload/iblock/924/u1yyfndw92v99roszq5o1p8fkdm83nop.jpg;;0;VCG1660T6DFPPB;90;30.67;387 дней;157,96 руб./день;7442;;;7442;;;;NVIDIA GeForce GTX 1660 Ti;DaggerHashimoto;2.93;2.93;1989;1989;;;;;;;;PNY;;;;;;;Обновлено: 02:00:38 17/10/2021;;;;;2.93;1989;;;;;;;;;
Видеокарта PNY Nvidia RTX A2000;Каталог / Видеокарты / Видеокарты NVIDIA;65800.0;InStock;8420;2022-03-09;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_pny_nvidia_rtx_a2000/;https://miningshop.ru/upload/iblock/ae1/fhvmtvvdhrh5tkg8cb8qy6zaty1btz27.jpg;mirror/upload/iblock/ae1/fhvmtvvdhrh5tkg8cb8qy6zaty1btz27.jpg;0;8420;70 W;41 Mh/s;347 месяцев;189,79 руб./день;8420;;GDDR6;8420;;;6144 МБ;Nvidia RTX A2000;DaggerHashimoto;;;;;;;;;;;;PNY;;;;;;;Обновлено: 09:00:35 09/03/2022;;;;;;;;Нет;;;;;;;
Видеокарта PNY Nvidia RTX A2000 12 Gb;Каталог / Видеокарты / Видеокарты NVIDIA;48900.0;InStock;Цена;2022-10-26;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_pny_nvidia_rtx_a2000_12_gb/;https://miningshop.ru/upload/iblock/8eb/xiv78wvhw0e7k2039womttrsgga3x1wa/videokarta_pny_nvidia_rtx_a2000_6144mb_vcnrtxa2000_sb__1964865_2.jpg;;0;;;;;;26083;;;;;;;;;;;;;;;;;;;;;;;;;;;;Нет;;;;;;;;;;;;;;
Видеокарта PNY nVidia GeForce Titan V 12GB MSIP-REM-NVA-PG500 GV100 HBM2 PCI-E 3.0 , RTL;Каталог / Видеокарты / Видеокарты NVIDIA;172620.0;OutOfStock;MSIP-REM-NVA-PG500;2021-10-27;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_videokarta_pny_nvidia_geforce_titan_v_12gb_msip_rem_nva_pg500_gv100_hbm2_pci_e_3_0_rtl/;https://miningshop.ru/upload/iblock/1a7/1a7c1574daf887b98385db4fef02ea00.jpeg https://miningshop.ru/upload/iblock/48a/48af28cc71610d82c8fcfd046e070ba8.jpg https://miningshop.ru/upload/iblock/a0f/a0feedd73e6ce162f233fd4667d47017.jpeg https://miningshop.ru/upload/iblock/0e0/0e043b34561d4f12a4cc0b1cd8532d32.jpeg https://miningshop.ru/upload/iblock/8fc/8fc199f03a4fbd60d9dbec167fe87a8a.jpeg;;1819;MSIP-REM-NVA-PG500;;;;;;;;4933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Видеокарта ZOTAC GeForce GTX 1060 AMP! Edition (ZT-P10610E-10M);Каталог / Видеокарты / Видеокарты NVIDIA;;Ожидаем поставку;1701;2023-02-03;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_zotac_geforce_gtx_1060_amp_edition_zt_p10610e_10m/;https://miningshop.ru/upload/iblock/b93/b93011f74e918a73df8318af7637d2b6.jpg https://miningshop.ru/upload/iblock/e67/e67f4b164bbab96e867e17e3629d389d.jpg https://miningshop.ru/upload/iblock/4f9/4f909fa8167226699953ddbfc1c9c620.jpg https://miningshop.ru/upload/iblock/531/53164cadc60fc115c5ae7f256f7041b1.jpg https://miningshop.ru/upload/iblock/9a7/9a7539b935b1b80a0d91e65eed343177.jpg https://miningshop.ru/upload/iblock/c72/c7253bb4caa56a189b0a5df776e3c7a1.jpg https://miningshop.ru/upload/iblock/387/3879f13462c91b0c790a4c76b3973b03.jpg;;869;1701;90;23.99;;;;3072 МБ;GDDR5;;;NVIDIA GeForce GTX 1060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Видеокарта ZOTAC GeForce GTX 1060 Mini (ZT-P10600A-10L);Каталог / Видеокарты / Видеокарты NVIDIA;;Ожидаем поставку;1699;2022-12-02;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_zotac_geforce_gtx_1060_mini_zt_p10600a_10l/;https://miningshop.ru/upload/iblock/2ce/2ce50f4e52417e1c8452780311e6ce26.jpg https://miningshop.ru/upload/iblock/25c/25cfb71d2dad7b787f465c920ee6500e.jpg https://miningshop.ru/upload/iblock/0c9/0c9831608f0d5d24977394a2f2b92596.jpg https://miningshop.ru/upload/iblock/225/22544cc5339dff36d845726fed6687c9.jpg https://miningshop.ru/upload/iblock/68b/68bee2b665b55c2ee516608fb782b50a.jpg https://miningshop.ru/upload/iblock/0f3/0f3e487ea10c7c8999de5840f66251e3.jpg;;1243;1699;90;23.99;;;;6144 МБ;GDDR5;;;NVIDIA GeForce GTX 1060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Видеокарта ZOTAC GeForce GTX 1070 AMP Extreme (ZT-P10700B-10P);Каталог / Видеокарты / Видеокарты NVIDIA;;Нет в наличии;ZT-P10700B-10P;2020-11-26;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_zotac_geforce_gtx_1070_amp_extreme_zt_p10700b_10p/;https://miningshop.ru/upload/iblock/2d4/2d472b159f7da68a4e2a11e0e0da9a55.jpg https://miningshop.ru/upload/iblock/603/6035a0cc7a42ef3bdcad4f94c882689d.jpg https://miningshop.ru/upload/iblock/9ba/9ba558c680ceef138de92144954b763c.jpg https://miningshop.ru/upload/iblock/a71/a71c2146a88c90b46fcd50cf2163ec4a.jpg https://miningshop.ru/upload/iblock/b72/b728ef8ef112705773b1e0a6963bbd66.jpg https://miningshop.ru/upload/iblock/adf/adf1c12eecb1705a72346302325406da.jpg https://miningshop.ru/upload/iblock/8a2/8a21e6abbe33e4cde434fa3544a28c8b.jpg;;1067;ZT-P10700B-10P;;;;;;;GDDR5;;;;8192 МБ;NVIDIA GeForce GTX 1070;;;;;;256 бит;8208;7680x4320;Да;HDMI, DisplayPort (3 шт), DVI-D;1920;1632 МГц / 1835 МГц;;OpenGL 4.5;500;SLI;4;16;2,5;;;2,35;325 x 148;не поддерживается;;;;;;;;;;;
Видеокарта ZOTAC GeForce GTX 1070 Ti AMP Extreme (ZT-P10710B-10P);Каталог / Видеокарты / Видеокарты NVIDIA;;Нет в наличии;ZT-P10710B-10P;2020-11-25;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_zotac_geforce_gtx_1070_ti_amp_extreme_zt_p10710b_10p/;https://miningshop.ru/upload/iblock/671/67199278e9e0c057b895e8c4bd41844a.jpg https://miningshop.ru/upload/iblock/027/0277359a8e0a4bcccf12fa038eb8a497.jpg https://miningshop.ru/upload/iblock/01b/01b7ed286e215af5b9fef59d232bb7ae.jpg https://miningshop.ru/upload/iblock/007/0079dbf0873efee392bd127bfba13c73.jpg https://miningshop.ru/upload/iblock/942/942ed500cc9fad784cf0df1a58f3823c.jpg https://miningshop.ru/upload/iblock/1aa/1aa0be7fd7397116cf9d51d6a18c4e42.jpg;;889;ZT-P10710B-10P;;;;;;;GDDR5;;;;8192 МБ;NVIDIA GeForce GTX 1070 TI;;;;;;256 бит;8000;7680x4320;Да;HDMI, DisplayPort (3 шт), DVI-D;2432;Base: 1607 MHzBoost: 1683 MHz;;OpenGL 4.5;500;Да;4;16 нм;2,5;;;1,8;325 x 148 x 56.6;не поддерживается;;;;;;;;;;;
Видеокарта ZOTAC GeForce GTX 1080 Ti Mini (ZT-P10810G-10P);Каталог / Видеокарты / Видеокарты NVIDIA;;Ожидаем поставку;1885;2023-02-03;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_zotac_geforce_gtx_1080_ti_mini_zt_p10810g_10p/;https://miningshop.ru/upload/iblock/b71/b7176250a79a2f9593770f13d09bae48.jpg https://miningshop.ru/upload/iblock/ec3/ec3428771d97ef2dc63a7a0c39e90713.jpg https://miningshop.ru/upload/iblock/ba7/ba7068411dd4442b633485fea29429df.jpg https://miningshop.ru/upload/iblock/4f0/4f0d14c7c427e769e117f0d3d79e17d4.jpg https://miningshop.ru/upload/iblock/7ef/7efd397fb183d7d86554e5fbc2638bd3.jpg https://miningshop.ru/upload/iblock/c2b/c2b058dcc1e508788ff04d91a78dfa95.jpg https://miningshop.ru/upload/iblock/490/490bac0cdede8b9f35377c610a2ec6d6.jpg;;1043;1885;190;48.69;;;;11264 МБ;GDDR5X;;;NVIDIA GeForce GTX 1080 Ti;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Видеокарта ZOTAC GeForce GTX 1660 SUPER Twin Fan;Каталог / Видеокарты / Видеокарты NVIDIA;61500.0;OutOfStock;ZT-T16620F-10L;2021-10-27;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_zotac_geforce_gtx_1660_super_twin_fan/;https://miningshop.ru/upload/iblock/663/663ac21e8ce0106df54047c97dc2091b.jpg https://miningshop.ru/upload/iblock/c38/c38bf4155ed84a9f60c800fb17216b7c.jpg https://miningshop.ru/upload/iblock/cd2/cd2546c8e30addc021cda18d2932ef05.jpg https://miningshop.ru/upload/iblock/dc1/dc196581819cf80e97cb7807644b5daa.jpg https://miningshop.ru/upload/iblock/5a8/5a83411ee28254f38f88af34509e02e2.jpg https://miningshop.ru/upload/iblock/f6d/f6d2520107d0546c6c81d437aa7bd0a3.jpg https://miningshop.ru/upload/iblock/037/037f7dcde0c3d41bfe236991d911ccc8.jpg;mirror/upload/resize_cache/iblock/dc1/400_400_140cd750bba9870f18aada2478b24840a/dc196581819cf80e97cb7807644b5daa.jpg mirror/upload/resize_cache/iblock/5a8/400_400_140cd750bba9870f18aada2478b24840a/5a83411ee28254f38f88af34509e02e2.jpg;0;ZT-T16620F-10L;100;29.5;389 дней;158,14 руб./день;5074;;;5074;;;;NVIDIA GeForce GTX 1660SUPER;DaggerHashimoto;3.39;3.39;2085;2085;;;;;;;;ZOTAC;;;;;;;Обновлено: 23:00:14 27/10/2021;;;;;3.39;2085;;;;;;;;;
Видеокарта Zotac GeForce RTX2080Ti 11GB ZT-T20810G-10P RTL;Каталог / Видеокарты / Видеокарты NVIDIA;50400.0;OutOfStock;4932;2021-10-27;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_zotac_geforce_rtx2080ti_11gb_zt_t20810g_10p_rtl/;https://miningshop.ru/upload/iblock/bc3/bc37363a1315ef3872a95c3a3ab96c2e.jpg https://miningshop.ru/upload/iblock/5c9/5c9a148fad66bb725f38dfa5fbd6130c.jpg https://miningshop.ru/upload/iblock/3fb/3fb32976307aaffa7345198907e78b4d.jpg https://miningshop.ru/upload/iblock/0d2/0d28f08d9b3709ec672b6372e1c10d7c.jpg https://miningshop.ru/upload/iblock/01c/01c73ec41ba9f39476554d9c7491b0dd.jpg https://miningshop.ru/upload/iblock/c03/c03db262807354b72de324ab448e22b5.jpg https://miningshop.ru/upload/iblock/147/147d8e7a3b3f7f6b44f8baa9a503f689.jpg;;1477;;220;59.21;159 дней;317,93 руб./день;4932;;;4932;;;;NVIDIA GeForce RTX 2080 Ti;;3.72;3.72;852;852;;;;;;;;;;;;;;;Обновлено: 22:00:22 27/10/2021;;;;;3.72;852;;;;;;;;;
Видеокарта ZOTAC GeForce RTX 3060 Twin Edge OC LHR;Каталог / Видеокарты / Видеокарты NVIDIA;33600.0;OutOfStock;7057;2023-06-26;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_zotac_geforce_rtx_3060_twin_edge_oc_lhr/;https://miningshop.ru/upload/iblock/f7a/2z9jbxg9po9n772kylwb7r1jfqy2blm6.jpg https://miningshop.ru/upload/iblock/14e/ddtx3lbfv6wblkgkgyf3kkxtqt17ui8l.jpg https://miningshop.ru/upload/iblock/832/hqvus11jdc1zidz4ljokktgoc8nvh87j.jpg https://miningshop.ru/upload/iblock/d37/sxmuuocogw9is3tqphghrx652xm6zjih.jpg;;3206;7057;110;22;INF;0;;;;;Обновлено: 02:30:28 27/06/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Видеокарта ZOTAC GeForce RTX 3070 Ti Trinity;Каталог / Видеокарты для майнинга по низкой цене в Москве / Видеокарты NVIDIA для майнинга в Москве;120400.0;OutOfStock;8623;2022-09-03;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarta_zotac_geforce_rtx_3070_ti_trinity/;https://miningshop.ru/upload/iblock/019/5msozcbxiyotw48vtqjh8f0mtn2j4smg.jpg https://miningshop.ru/upload/iblock/d84/2pcsy0bhcvtu3pg1g2lgui2ie4yacg6h.jpg https://miningshop.ru/upload/iblock/2e3/bsp2ogf31nezrvm0oq0f9if1qqn80qwc.jpg https://miningshop.ru/upload/iblock/df1/50szzx6auwah1zwa0vzg78g21nealjpw.jpg https://miningshop.ru/upload/iblock/ce9/r9fcoqq0x6f2mbqspucn9ytpnf4acv4d.jpg;mirror/upload/iblock/019/5msozcbxiyotw48vtqjh8f0mtn2j4smg.jpg mirror/upload/iblock/d84/2pcsy0bhcvtu3pg1g2lgui2ie4yacg6h.jpg mirror/upload/iblock/2e3/bsp2ogf31nezrvm0oq0f9if1qqn80qwc.jpg mirror/upload/iblock/df1/50szzx6auwah1zwa0vzg78g21nealjpw.jpg mirror/upload/iblock/ce9/r9fcoqq0x6f2mbqspucn9ytpnf4acv4d.jpg;3112;8623;230;;38.55;104.11126825984;;8 Гб;;;Обновлено: 15:00:42 15/08/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asus GeForce RTX 3060 Ti Dual V2 OC LHR;Каталог / Видеокарты для майнинга по низкой цене в Москве / Видеокарты NVIDIA для майнинга в Москве / Видеокарты GeForce RTX 30 для майнинга в Москве;65900.0;OutOfStock;7276;2022-09-03;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/asus_geforce_rtx_3060_ti_dual_v2_oc_lhr/;https://miningshop.ru/upload/iblock/3da/7e1dvboqxa8pls3p0vfxalu7dorx82fv.jpg https://miningshop.ru/upload/iblock/f67/rej6dhwvlo313ha5ht2c74efvn4x16a0.jpg https://miningshop.ru/upload/iblock/8b0/e43f8oc6u1x5r39ib4p3x8xbq70v6ced.jpg https://miningshop.ru/upload/iblock/537/z43u5gcp6azmz7v1lzd4i20nsgjkhulr.jpg https://miningshop.ru/upload/iblock/23d/gzbrbm9jlevq71u1zilk5pmjmigedic1.jpg https://miningshop.ru/upload/iblock/a82/0fo3jlf45wabd1l1sgd2na86j8zy8jfq.jpg;mirror/upload/resize_cache/iblock/f67/400_400_140cd750bba9870f18aada2478b24840a/rej6dhwvlo313ha5ht2c74efvn4x16a0.jpg mirror/upload/resize_cache/iblock/8b0/400_400_140cd750bba9870f18aada2478b24840a/e43f8oc6u1x5r39ib4p3x8xbq70v6ced.jpg mirror/upload/resize_cache/iblock/537/400_400_140cd750bba9870f18aada2478b24840a/z43u5gcp6azmz7v1lzd4i20nsgjkhulr.jpg mirror/upload/resize_cache/iblock/23d/400_400_140cd750bba9870f18aada2478b24840a/gzbrbm9jlevq71u1zilk5pmjmigedic1.jpg;3481;7276;156;;21.1;104.11126825984;;;;;Обновлено: 15:00:42 15/08/2022;NVIDIA GeForce RTX 3060 Ti (LHR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colorful GeForce RTX 3080 Ti Advanced OC-V;Каталог / Видеокарты для майнинга по низкой цене в Москве / Видеокарты NVIDIA для майнинга в Москве / Видеокарты GeForce RTX 30 для майнинга в Москве;165100.0;OutOfStock;7278;2022-09-03;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/colorful_geforce_rtx_3080_ti_advanced_oc_v/;https://miningshop.ru/upload/iblock/e13/qkeb1kvi71tt7zsmbph5syyo87dsog9f.jpg https://miningshop.ru/upload/iblock/30e/lgjm6947zedf0yrshxu9pxypta0b086d.jpg https://miningshop.ru/upload/iblock/eff/5fbf7xqzln08853oty5zx5trp41kekfd.jpg https://miningshop.ru/upload/iblock/04e/b8fcrn8nmrl5g6zf8i6910khlh9e96tp.jpg;;3379;7278;290;;39.81;138.24611031225;;12 Гб;;;Обновлено: 15:00:42 15/08/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MSI GeForce RTX 3060 VENTUS 2X 12G OC LHR;Каталог / Видеокарты для майнинга по низкой цене в Москве / Видеокарты NVIDIA для майнинга в Москве / Видеокарты GeForce RTX 30 для майнинга в Москве;54500.0;OutOfStock;7175;2022-09-03;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/msi_geforce_rtx_3060_ventus_2x_12g_oc_lhr/;https://miningshop.ru/upload/iblock/17d/y9j194thh3879ya0j7wskavp05x9fw2g.jpg https://miningshop.ru/upload/iblock/868/95m64kaxoyysfkp2qmov5wnq5c4wlnml.jpg https://miningshop.ru/upload/iblock/81b/nu37z5ooc1ymo48waewm6vrqlfcz7cn2.jpg https://miningshop.ru/upload/iblock/e6f/4x7jwny2vp3bjpy8kuneai99kyzrfl7y.jpg;mirror/upload/resize_cache/iblock/868/400_400_140cd750bba9870f18aada2478b24840a/95m64kaxoyysfkp2qmov5wnq5c4wlnml.jpg mirror/upload/resize_cache/iblock/81b/400_400_140cd750bba9870f18aada2478b24840a/nu37z5ooc1ymo48waewm6vrqlfcz7cn2.jpg mirror/upload/resize_cache/iblock/e6f/400_400_140cd750bba9870f18aada2478b24840a/4x7jwny2vp3bjpy8kuneai99kyzrfl7y.jpg;0;7175;110;;28.13;64.589468784127;;;;;Обновлено: 15:00:29 15/08/2022;NVIDIA GeForce RTX 3060 (LHR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Набор GIGABYTE RTX 3080 EAGLE OC;Каталог / Видеокарты / Видеокарты NVIDIA / Видеокарты GeForce RTX 30;92700.0;OutOfStock;5886;2023-06-26;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/nabor_gigabyte_rtx_3080_eagle_oc/;https://miningshop.ru/upload/iblock/4d7/4d71c8b341c9f32e329beb05d0a07383.png https://miningshop.ru/upload/iblock/a81/a815008b452340c4c8013d8b3185db31.png https://miningshop.ru/upload/iblock/33a/33a0935ae028b6e113a78c1a26293727.png https://miningshop.ru/upload/iblock/232/2320ec8caf4ce99d84083e39719ee832.png https://miningshop.ru/upload/iblock/b2f/b2fa5f4eaa67db55aa8d248bac2ac095.png;;3406;5886;240;100;INF;0;;10 Гб;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Набор GIGABYTE RTX 3080 GAMING OC;Каталог / Видеокарты / Видеокарты NVIDIA / Видеокарты GeForce RTX 30;98600.0;OutOfStock;5885;2023-06-26;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/nabor_gigabyte_rtx_3080_gaming_oc/;https://miningshop.ru/upload/iblock/c63/c63b4c6fcd113aabf037d6fedcdd85ab.png https://miningshop.ru/upload/iblock/0a0/0a0e0068c4fd6e52922d295e02966609.png https://miningshop.ru/upload/iblock/208/2082203dd11553f0292c5a90e259627e.png https://miningshop.ru/upload/iblock/e38/e382c70818c6979e117422fd88c37e20.png https://miningshop.ru/upload/iblock/72f/72f6b98503c6afab7a49cd2452184801.png;;0;5885;240;100;INF;0;;10 Гб;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Видеокарта Asus GeForce RTX 3060 Dual;Каталог / Видеокарты для майнинга по низкой цене в Москве / Видеокарты NVIDIA для майнинга в Москве / Видеокарты GeForce RTX 30 для майнинга в Москве;61000.0;OutOfStock;6633;2022-09-03;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/videokarta_asus_geforce_rtx_3060_dual/;https://miningshop.ru/upload/iblock/1ee/mn7ve6ah5tkbbi7j1tufrsyyyma28qso.jpg https://miningshop.ru/upload/iblock/173/vos64kz7c40ri4i9if8y7pyihqm72mvv.jpg https://miningshop.ru/upload/iblock/93e/frmdsa2iihmfjvve633x3oyym1fiqwgq.jpg https://miningshop.ru/upload/iblock/47a/r3j3im3bzc9aljws7fsraeyrxmi58tgf.jpg https://miningshop.ru/upload/iblock/6bd/r0dte2gu0gq030mlphbzuqik09t0ugnk.jpg;;0;6633;110;;31.48;64.589468784127;;12 Гб;;;Обновлено: 15:00:28 15/08/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Видеокарта Asus GeForce RTX 3060 Dual OC;Каталог / Видеокарты для майнинга по низкой цене в Москве / Видеокарты NVIDIA для майнинга в Москве / Видеокарты GeForce RTX 30 для майнинга в Москве;60200.0;OutOfStock;6547;2022-09-03;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/videokarta_asus_geforce_rtx_3060_dual_oc/;https://miningshop.ru/upload/iblock/24f/qf4n7p4fu3battjafb8js1sba0cu1ie3.png https://miningshop.ru/upload/iblock/e57/hnjmyltse2y4xliv0vvi8hwcrr3qg68s.png https://miningshop.ru/upload/iblock/ba5/m8ak4y62h4nod52fz9aeidqcxsbbbb71.png https://miningshop.ru/upload/iblock/455/asxxkjqd59fdvd08pqv5j4s0kb1iqwsr.png;;0;6547;110;;31.07;64.589468784127;;;;;Обновлено: 15:00:28 15/08/2022;NVIDIA GeForce RTX 3060 (LHR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Видеокарта Asus GeForce RTX 3060 Dual V2 OC LHR;Каталог / Видеокарты для майнинга по низкой цене в Москве / Видеокарты NVIDIA для майнинга в Москве / Видеокарты GeForce RTX 30 для майнинга в Москве;64100.0;OutOfStock;7282;2022-09-03;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/videokarta_asus_geforce_rtx_3060_dual_v2_oc_lhr/;https://miningshop.ru/upload/iblock/69f/1it1umjkqpj28c2uolfm0eyua3ss10kt.jpg https://miningshop.ru/upload/iblock/1ca/2cg51821jguifcle5eqhw448d5m0pb93.jpg https://miningshop.ru/upload/iblock/ee3/vgzikykdcyf32ov54xq1k3r4qupi2r01.jpg https://miningshop.ru/upload/iblock/dfc/zrokhitbw3jst09sz12pset7pxo15n4p.jpg https://miningshop.ru/upload/iblock/438/yv1ubn9n2pia7q3p9w19lsbrim0ycdcq.jpg https://miningshop.ru/upload/iblock/479/15u1etu7fwa54b3p9f4fczfk1o3pd4bi.jpg;;0;7282;110;;33.08;64.589468784127;;;;;Обновлено: 15:00:30 15/08/2022;NVIDIA GeForce RTX 3060 (LHR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Видеокарта Asus GeForce RTX 3060 Phoenix V2 LHR;Каталог / Видеокарты для майнинга по низкой цене в Москве / Видеокарты NVIDIA для майнинга в Москве / Видеокарты GeForce RTX 30 для майнинга в Москве;63100.0;OutOfStock;7585;2022-09-03;https://miningshop.ru/catalog/videokarty/videokarty_nvidia/videokarty_geforce_rtx_30/videokarta_asus_geforce_rtx_3060_phoenix_v2_lhr/;https://miningshop.ru/upload/iblock/f6a/mzvhffkof1qa3e61un9f9jmzgeftd1l2.jpg https://miningshop.ru/upload/iblock/6ff/t8s1bs278mfl36nbuxzhv0bj1p2oh1jh.jpg https://miningshop.ru/upload/iblock/5f3/uv1856li13sjiq3pzdn6e8fbuesgppmb.jpg https://miningshop.ru/upload/iblock/7b4/c1sc99h3ap05r38wqk38nh8xjc22fy74.jpg;;0;7585;;;;;;12 Гб;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nVidia;PCI Express 4.0;;;;GeForce RTX 3060;GA106
